Exercise,Upper_Pec_Mean,Upper_Pec_Peak,Mid_Pec_Mean,Mid_Pec_Peak,Lower_Pec_Mean,Lower_Pec_Peak,Tri_Long_Head_Mean,Tri_Long_Head_Peak
135 lb Bench Press,53.8,111.0,69.5,157.0,42.0,82.7,14.3,51.2
225 lb Bench Press,125.0,230.0,181.0,408.0,116.0,347.0,47.8,109.0
275 lb Bench Press,109.0,198.0,177.0,288.0,130.0,345.0,73.5,153.0
135 lb Incline Press,87.1,157.0,68.3,197.0,25.3,60.2,18.9,42.7
225 lb Incline Press,135.0,222.0,133.0,374.0,69.4,249.0,48.7,84.0
245 lb Incline Press,130.0,261.0,156.0,422.0,89.4,337.0,55.8,109.0
100 lb Dumbbell Bench Press,122.0,192.0,204.0,451.0,88.1,252.0,43.7,128.0
90 lb Dumbbell Incline Press,128.0,310.0,124.0,286.0,59.0,172.0,35.5,98.9
Bodyweight Dip,73.7,164.0,105.0,234.0,124.0,266.0,73.9,150.0
115 lb Dip,140.0,232.0,192.0,332.0,214.0,418.0,124.0,217.0
225 lb Close Grip Press,106.0,211.0,137.0,229.0,77.5,217.0,52.6,107.0
225 lb Wide Grip Guillotine Press,114.0,302.0,176.0,511.0,169.0,502.0,61.9,142.0
225 lb Floor Press,106.0,197.0,148.0,248.0,121.0,255.0,52.2,112.0
275 lb Floor Press,132.0,265.0,197.0,356.0,154.0,347.0,64.8,170.0
50 lb Fly,116.0,226.0,165.0,354.0,150.0,387.0,13.2,26.1
60 lb Fly,133.0,231.0,195.0,493.0,160.0,450.0,14.9,31.3
50 lb Incline Fly,125.0,249.0,135.0,344.0,77.3,257.0,12.6,20.0
100 lb High Pulley Crossover,107.0,201.0,168.0,311.0,153.0,397.0,9.6,19.1
100 lb Mid Pulley Crossover,154.0,252.0,154.0,271.0,124.0,251.0,11.5,23.1
100 lb Low Pulley Crossover,135.0,233.0,78.6,249.0,36.9,74.8,20.2,77.2
Bodyweight Push Up,109.0,204.0,124.0,252.0,101.0,194.0,24.0,38.7
Bodyweight CG Push Up,103.0,188.0,118.0,188.0,70.7,119.0,22.9,43.2
Bodyweight Elevated Push Up,96.6,156.0,102.0,232.0,52.7,167.0,24.0,46.6
Bodyweight Blast Strap Push Up,113.0,206.0,166.0,363.0,177.0,352.0,35.3,107.0
Purple Band Push Up,115.0,168.0,125.0,294.0,113.0,217.0,51.8,78.7
Green Band Push Up,151.0,239.0,162.0,268.0,121.0,238.0,59.3,125.0
100 lb Dumbbell Pullover,55.7,119.0,88.6,186.0,53.8,164.0,66.9,153.0
JC Band Press,143.0,272.0,45.7,91.0,53.0,127.0,21.0,52.6
95 lb Skull Crusher,45.6,89.5,21.5,48.6,70.7,118.0,116.0,172.0
120 lb Rope Extension,6.9,14.9,5.4,21.9,36.1,82.5,135.0,276.0
140 lb Cable Extension,9.3,21.3,9.3,18.7,78.2,172.0,132.0,255.0
Purple Band Extension,11.4,27.4,10.7,19.5,69.4,174.0,120.0,221.0
140 lb Cable Overhead Extension,19.4,41.0,19.2,130.0,40.6,126.0,109.0,206.0